CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Oaxaca,202601,Mayor o igual a 15 y menor a 20 años de edad,569.505,411.542323232,614,551,63,0,103,99,4,0
7,Transportes y comunicaciones,Puebla,202601,Mayor o igual a 15 y menor a 20 años de edad,360.383,413.699678899,1491,1388,103,0,228,218,10,0
7,Transportes y comunicaciones,Querétaro,202601,Mayor o igual a 15 y menor a 20 años de edad,321.92,418.011376147,719,668,51,0,112,109,3,0
7,Transportes y comunicaciones,Quintana Roo,202601,Mayor o igual a 15 y menor a 20 años de edad,359.335,430.587884615,1099,998,101,0,108,104,4,0
7,Transportes y comunicaciones,San Luis Potosí,202601,Mayor o igual a 15 y menor a 20 años de edad,433.237777778,410.684494382,1003,914,89,0,187,178,9,0
7,Transportes y comunicaciones,Sinaloa,202601,Mayor o igual a 15 y menor a 20 años de edad,376.74,428.758802817,1506,1419,87,0,291,284,7,0
7,Transportes y comunicaciones,Sonora,202601,Mayor o igual a 15 y menor a 20 años de edad,404.115,409.231365639,950,865,85,0,239,227,12,0
7,Transportes y comunicaciones,Tabasco,202601,Mayor o igual a 15 y menor a 20 años de edad,375.81,438.903223140,670,613,57,0,126,121,5,0
7,Transportes y comunicaciones,Tamaulipas,202601,Mayor o igual a 15 y menor a 20 años de edad,418.06,444.497794677,1256,1128,128,0,277,263,14,0
7,Transportes y comunicaciones,Tlaxcala,202601,Mayor o igual a 15 y menor a 20 años de edad,315.04,407.421290323,248,243,5,0,32,31,1,0
7,Transportes y comunicaciones,Veracruz,202601,Mayor o igual a 15 y menor a 20 años de edad,456.969375,438.645242424,1406,1272,134,0,346,330,16,0
7,Transportes y comunicaciones,Yucatán,202601,Mayor o igual a 15 y menor a 20 años de edad,384.691666667,415.609930556,815,734,81,0,156,144,12,0
7,Transportes y comunicaciones,Zacatecas,202601,Mayor o igual a 15 y menor a 20 años de edad,444.216666667,400.059354839,346,333,13,0,34,31,3,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202601,Mayor o igual a 20 y menor a 25 años de edad,440.358571429,445.630261780,1840,1631,209,0,198,191,7,0
7,Transportes y comunicaciones,Aguascalientes,202601,Mayor o igual a 20 y menor a 25 años de edad,392.065,396.382907801,3433,3145,288,0,143,141,2,0
7,Transportes y comunicaciones,Baja California,202601,Mayor o igual a 20 y menor a 25 años de edad,416.779583333,437.981541916,7408,6641,767,0,716,668,48,0
7,Transportes y comunicaciones,Baja California Sur,202601,Mayor o igual a 20 y menor a 25 años de edad,458.565555556,463.2195,1497,1341,156,0,109,100,9,0
7,Transportes y comunicaciones,Campeche,202601,Mayor o igual a 20 y menor a 25 años de edad,383.646923077,415.520789474,2488,2289,199,0,127,114,13,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202601,Mayor o igual a 20 y menor a 25 años de edad,424.8175,442.262016393,6497,5824,673,0,634,610,24,0
7,Transportes y comunicaciones,Colima,202601,Mayor o igual a 20 y menor a 25 años de edad,418.247,444.819736842,2137,1905,232,0,86,76,10,0
7,Transportes y comunicaciones,Chiapas,202601,Mayor o igual a 20 y menor a 25 años de edad,431.022666667,428.820591966,6488,6000,488,0,488,473,15,0
7,Transportes y comunicaciones,Chihuahua,202601,Mayor o igual a 20 y menor a 25 años de edad,396.157666667,424.202676056,11073,9261,1812,0,628,568,60,0
7,Transportes y comunicaciones,Durango,202601,Mayor o igual a 20 y menor a 25 años de edad,351.84375,423.113989362,4279,3858,421,0,196,188,8,0
7,Transportes y comunicaciones,Guanajuato,202601,Mayor o igual a 20 y menor a 25 años de edad,388.805714286,401.826351351,11264,10397,867,0,620,592,28,0
7,Transportes y comunicaciones,Guerrero,202601,Mayor o igual a 20 y menor a 25 años de edad,437.6,450.581180556,3391,3018,373,0,309,288,21,0
7,Transportes y comunicaciones,Hidalgo,202601,Mayor o igual a 20 y menor a 25 años de edad,421.942222222,433.844195804,1971,1790,181,0,152,143,9,0
7,Transportes y comunicaciones,Jalisco,202601,Mayor o igual a 20 y menor a 25 años de edad,387.736162791,428.819154229,22730,20593,2137,0,1694,1608,86,0
7,Transportes y comunicaciones,México,202601,Mayor o igual a 20 y menor a 25 años de edad,368.711408451,408.946485286,40934,36944,3990,0,1872,1801,71,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202601,Mayor o igual a 20 y menor a 25 años de edad,396.913846154,409.327802691,4718,4363,355,0,236,223,13,0
7,Transportes y comunicaciones,Morelos,202601,Mayor o igual a 20 y menor a 25 años de edad,386.598181818,400.984238411,4779,4303,476,0,162,151,11,0
7,Transportes y comunicaciones,Nayarit,202601,Mayor o igual a 20 y menor a 25 años de edad,368.28125,434.090242718,2544,2326,218,0,214,206,8,0
7,Transportes y comunicaciones,Nuevo León,202601,Mayor o igual a 20 y menor a 25 años de edad,400.969591837,449.652541667,16038,14218,1820,0,1778,1680,98,0
7,Transportes y comunicaciones,Oaxaca,202601,Mayor o igual a 20 y menor a 25 años de edad,376.4765,443.011682540,4229,3847,382,0,335,315,20,0
7,Transportes y comunicaciones,Puebla,202601,Mayor o igual a 20 y menor a 25 años de edad,364.721052632,417.543274956,9443,8651,792,0,590,571,19,0
7,Transportes y comunicaciones,Querétaro,202601,Mayor o igual a 20 y menor a 25 años de edad,367.719333333,417.400268199,3977,3655,322,0,276,261,15,0
7,Transportes y comunicaciones,Quintana Roo,202601,Mayor o igual a 20 y menor a 25 años de edad,380.436875,442.280634146,4922,4383,539,0,221,205,16,0
7,Transportes y comunicaciones,San Luis Potosí,202601,Mayor o igual a 20 y menor a 25 años de edad,376.496071429,435.733690141,5846,5244,602,0,383,355,28,0
7,Transportes y comunicaciones,Sinaloa,202601,Mayor o igual a 20 y menor a 25 años de edad,407.680833333,427.193233333,8673,7954,719,0,624,600,24,0
