CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Zacatecas,202512,Entre 20 y 25 años,431.68,347.7426984,1761,1643,118,0,67,63,4,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,Entre 25 y 30 años,392.826,402.8739744,1776,1600,176,0,244,234,10,0
7,Transportes y comunicaciones,Aguascalientes,202512,Entre 25 y 30 años,335.127,361.5305809,3406,3080,326,0,251,241,10,0
7,Transportes y comunicaciones,Baja California,202512,Entre 25 y 30 años,367.2588525,397.5600407,7601,6594,1007,0,1045,984,61,0
7,Transportes y comunicaciones,Baja California Sur,202512,Entre 25 y 30 años,414.29,408.2455862,1375,1172,203,0,158,145,13,0
7,Transportes y comunicaciones,Campeche,202512,Entre 25 y 30 años,326.1066667,351.4463218,3442,3042,400,0,180,174,6,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202512,Entre 25 y 30 años,365.521087,384.0273848,8162,7314,848,0,914,868,46,0
7,Transportes y comunicaciones,Colima,202512,Entre 25 y 30 años,420.06625,379.9127027,1898,1685,213,0,119,111,8,0
7,Transportes y comunicaciones,Chiapas,202512,Entre 25 y 30 años,382.1866667,391.048272,8264,7634,630,0,736,706,30,0
7,Transportes y comunicaciones,Chihuahua,202512,Entre 25 y 30 años,355.0550562,377.9444157,10940,8874,2066,0,1056,967,89,0
7,Transportes y comunicaciones,Ciudad de México,202512,Entre 25 y 30 años,328.6953169,366.0869934,55356,49430,5926,0,4651,4367,284,0
7,Transportes y comunicaciones,Durango,202512,Entre 25 y 30 años,306.6783333,374.5191722,4138,3680,458,0,320,302,18,0
7,Transportes y comunicaciones,Guanajuato,202512,Entre 25 y 30 años,333.9174359,356.6408811,11409,10427,982,0,947,908,39,0
7,Transportes y comunicaciones,Guerrero,202512,Entre 25 y 30 años,368.5762857,398.7153477,4455,3970,485,0,452,417,35,0
7,Transportes y comunicaciones,Hidalgo,202512,Entre 25 y 30 años,299.154,391.5872444,2420,2220,200,0,235,225,10,0
7,Transportes y comunicaciones,Jalisco,202512,Entre 25 y 30 años,328.8696748,374.1236785,23602,21270,2332,0,2518,2395,123,0
7,Transportes y comunicaciones,México,202512,Entre 25 y 30 años,343.1861404,368.8374175,40341,36633,3708,0,3292,3121,171,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202512,Entre 25 y 30 años,347.8228,359.9054412,5480,5061,419,0,433,408,25,0
7,Transportes y comunicaciones,Morelos,202512,Entre 25 y 30 años,314.2841176,359.370748,4577,4121,456,0,271,254,17,0
7,Transportes y comunicaciones,Nayarit,202512,Entre 25 y 30 años,310.9857143,360.9422034,2942,2720,222,0,302,295,7,0
7,Transportes y comunicaciones,Nuevo León,202512,Entre 25 y 30 años,373.4007692,410.6186285,18215,15944,2271,0,2622,2479,143,0
7,Transportes y comunicaciones,Oaxaca,202512,Entre 25 y 30 años,401.6,400.641422,5035,4568,467,0,455,436,19,0
7,Transportes y comunicaciones,Puebla,202512,Entre 25 y 30 años,332.5776667,364.4965856,11312,10372,940,0,976,946,30,0
7,Transportes y comunicaciones,Querétaro,202512,Entre 25 y 30 años,337.1514286,367.3968298,4384,3938,446,0,457,429,28,0
7,Transportes y comunicaciones,Quintana Roo,202512,Entre 25 y 30 años,316.2818182,378.1283219,4388,3845,543,0,314,292,22,0
7,Transportes y comunicaciones,San Luis Potosí,202512,Entre 25 y 30 años,371.7864865,381.5749746,6784,6030,754,0,628,591,37,0
7,Transportes y comunicaciones,Sinaloa,202512,Entre 25 y 30 años,345.3126829,385.8865089,9556,8690,866,0,886,845,41,0
7,Transportes y comunicaciones,Sonora,202512,Entre 25 y 30 años,341.5825,374.3306789,7113,6215,898,0,795,707,88,0
7,Transportes y comunicaciones,Tabasco,202512,Entre 25 y 30 años,359.0406897,380.5873333,6296,5670,626,0,554,525,29,0
7,Transportes y comunicaciones,Tamaulipas,202512,Entre 25 y 30 años,399.7138983,407.9251628,8801,7732,1069,0,919,860,59,0
7,Transportes y comunicaciones,Tlaxcala,202512,Entre 25 y 30 años,357.33,350.3142609,1916,1806,110,0,119,115,4,0
7,Transportes y comunicaciones,Veracruz,202512,Entre 25 y 30 años,367.44875,396.1411254,15769,14157,1612,0,1483,1395,88,0
7,Transportes y comunicaciones,Yucatán,202512,Entre 25 y 30 años,343.3421429,366.0517036,7674,6943,731,0,615,587,28,0
7,Transportes y comunicaciones,Zacatecas,202512,Entre 25 y 30 años,374.7283333,349.4734437,2005,1840,165,0,157,151,6,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,Entre 30 y 35 años,358.1158824,404.9728144,2102,1861,241,0,351,334,17,0
7,Transportes y comunicaciones,Aguascalientes,202512,Entre 30 y 35 años,350.7853333,354.0380069,3006,2681,325,0,306,291,15,0
7,Transportes y comunicaciones,Baja California,202512,Entre 30 y 35 años,358.1421951,405.8883126,6039,5166,873,0,965,883,82,0
7,Transportes y comunicaciones,Baja California Sur,202512,Entre 30 y 35 años,368.533,420.0017714,1191,968,223,0,195,175,20,0
7,Transportes y comunicaciones,Campeche,202512,Entre 30 y 35 años,338.6855556,375.6178481,3341,2908,433,0,255,237,18,0
